Date,Price,Open,High,Low,Vol.,Change %,,,,,,,
07/05/2024,"12,142.54","12,142.54","12,142.54","12,142.54",,0.56%,,,,,,,
07/03/2024,"12,074.83","12,074.83","12,074.83","12,074.83",,0.51%,,,,,,,
07/02/2024,"12,013.40","12,013.40","12,013.40","12,013.40",,0.62%,,,,,,,
07/01/2024,"11,939.38","11,939.38","11,939.38","11,939.38",,0.27%,,,,,,,
06/28/2024,"11,907.15","11,907.15","11,907.15","11,907.15",,-0.40%,,,,,,,
06/27/2024,"11,954.50","11,954.50","11,954.50","11,954.50",,0.09%,,,,,,,
06/26/2024,"11,943.53","11,943.53","11,943.53","11,943.53",,0.16%,,,,,,,
06/25/2024,"11,924.75","11,924.75","11,924.75","11,924.75",,0.39%,,,,,,,
06/24/2024,"11,878.04","11,878.04","11,878.04","11,878.04",,-0.30%,,,,,,,
06/21/2024,"11,913.78","11,913.78","11,913.78","11,913.78",,-0.15%,,,,,,,
06/20/2024,"11,931.80","11,931.80","11,931.80","11,931.80",,-0.25%,,,,,,,
06/18/2024,"11,961.93","11,961.93","11,961.93","11,961.93",,0.26%,,,,,,,
06/17/2024,"11,931.48","11,931.48","11,931.48","11,931.48",,0.78%,,,,,,,
06/14/2024,"11,839.27","11,839.27","11,839.27","11,839.27",,-0.01%,,,,,,,
06/13/2024,"11,841.02","11,841.02","11,841.02","11,841.02",,0.24%,,,,,,,
06/12/2024,"11,813.17","11,813.17","11,813.17","11,813.17",,0.85%,,,,,,,
06/11/2024,"11,713.30","11,713.30","11,713.30","11,713.30",,0.27%,,,,,,,
06/10/2024,"11,681.54","11,681.54","11,681.54","11,681.54",,0.27%,,,,,,,
06/07/2024,"11,650.49","11,650.49","11,650.49","11,650.49",,-0.09%,,,,,,,
06/06/2024,"11,661.37","11,661.37","11,661.37","11,661.37",,-0.02%,,,,,,,
06/05/2024,"11,663.55","11,663.55","11,663.55","11,663.55",,1.19%,,,,,,,
06/04/2024,"11,526.80","11,526.80","11,526.80","11,526.80",,0.16%,,,,,,,
06/03/2024,"11,508.89","11,508.89","11,508.89","11,508.89",,0.12%,,,,,,,
05/31/2024,"11,494.70","11,494.70","11,494.70","11,494.70",,0.81%,,,,,,,
05/30/2024,"11,402.10","11,402.10","11,402.10","11,402.10",,-0.59%,,,,,,,
05/29/2024,"11,469.46","11,469.46","11,469.46","11,469.46",,-0.74%,,,,,,,
05/28/2024,"11,554.45","11,554.45","11,554.45","11,554.45",,0.03%,,,,,,,
05/24/2024,"11,551.56","11,551.56","11,551.56","11,551.56",,0.70%,,,,,,,
05/23/2024,"11,470.98","11,470.98","11,470.98","11,470.98",,-0.73%,,,,,,,
05/22/2024,"11,555.84","11,555.84","11,555.84","11,555.84",,-0.27%,,,,,,,
05/21/2024,"11,587.05","11,587.05","11,587.05","11,587.05",,0.25%,,,,,,,
05/20/2024,"11,557.84","11,557.84","11,557.84","11,557.84",,0.10%,,,,,,,
05/17/2024,"11,546.28","11,546.28","11,546.28","11,546.28",,0.12%,,,,,,,
05/16/2024,"11,532.36","11,532.36","11,532.36","11,532.36",,-0.19%,,,,,,,
05/15/2024,"11,554.04","11,554.04","11,554.04","11,554.04",,1.19%,,,,,,,
05/14/2024,"11,418.12","11,418.12","11,418.12","11,418.12",,0.50%,,,,,,,
05/13/2024,"11,361.46","11,361.46","11,361.46","11,361.46",,-0.02%,,,,,,,
05/10/2024,"11,364.04","11,364.04","11,364.04","11,364.04",,0.18%,,,,,,,
05/09/2024,"11,343.55","11,343.55","11,343.55","11,343.55",,0.53%,,,,,,,
05/08/2024,"11,283.91","11,283.91","11,283.91","11,283.91",,0.00%,,,,,,,
05/07/2024,"11,283.96","11,283.96","11,283.96","11,283.96",,0.14%,,,,,,,
05/06/2024,"11,268.23","11,268.23","11,268.23","11,268.23",,1.04%,,,,,,,
05/03/2024,"11,152.76","11,152.76","11,152.76","11,152.76",,1.26%,,,,,,,
05/02/2024,"11,013.91","11,013.91","11,013.91","11,013.91",,0.91%,,,,,,,
